Episode,Length,Reward,IMG,LOG
1394,6,-4,frames/image1394.gif,frames/log1394.csv
1395,7,-5,frames/image1395.gif,frames/log1395.csv
1396,8,-6,frames/image1396.gif,frames/log1396.csv
1397,6,-4,frames/image1397.gif,frames/log1397.csv
1398,8,-6,frames/image1398.gif,frames/log1398.csv
1399,6,-4,frames/image1399.gif,frames/log1399.csv
1400,6,-4,frames/image1400.gif,frames/log1400.csv
1401,7,-5,frames/image1401.gif,frames/log1401.csv
1402,6,-4,frames/image1402.gif,frames/log1402.csv
1403,7,-5,frames/image1403.gif,frames/log1403.csv
1404,6,-4,frames/image1404.gif,frames/log1404.csv
1405,6,-4,frames/image1405.gif,frames/log1405.csv
1406,6,-4,frames/image1406.gif,frames/log1406.csv
1407,6,-4,frames/image1407.gif,frames/log1407.csv
1408,8,-6,frames/image1408.gif,frames/log1408.csv
1409,10,-8,frames/image1409.gif,frames/log1409.csv
1410,6,-4,frames/image1410.gif,frames/log1410.csv
1411,8,-6,frames/image1411.gif,frames/log1411.csv
1412,6,-4,frames/image1412.gif,frames/log1412.csv
1413,6,-4,frames/image1413.gif,frames/log1413.csv
1414,6,-4,frames/image1414.gif,frames/log1414.csv
1415,8,-6,frames/image1415.gif,frames/log1415.csv
1416,8,-6,frames/image1416.gif,frames/log1416.csv
1417,6,-4,frames/image1417.gif,frames/log1417.csv
1418,8,-6,frames/image1418.gif,frames/log1418.csv
1419,6,-4,frames/image1419.gif,frames/log1419.csv
1420,6,-4,frames/image1420.gif,frames/log1420.csv
1421,8,-6,frames/image1421.gif,frames/log1421.csv
1422,6,-4,frames/image1422.gif,frames/log1422.csv
1423,6,-4,frames/image1423.gif,frames/log1423.csv
1424,6,-4,frames/image1424.gif,frames/log1424.csv
1425,8,-6,frames/image1425.gif,frames/log1425.csv
1426,6,-4,frames/image1426.gif,frames/log1426.csv
1427,6,-4,frames/image1427.gif,frames/log1427.csv
1428,6,-4,frames/image1428.gif,frames/log1428.csv
1429,6,-4,frames/image1429.gif,frames/log1429.csv
1430,7,-5,frames/image1430.gif,frames/log1430.csv
1431,6,-4,frames/image1431.gif,frames/log1431.csv
1432,8,-6,frames/image1432.gif,frames/log1432.csv
1433,6,-4,frames/image1433.gif,frames/log1433.csv
1434,8,-6,frames/image1434.gif,frames/log1434.csv
1435,6,-4,frames/image1435.gif,frames/log1435.csv
1436,6,-4,frames/image1436.gif,frames/log1436.csv
1437,6,-4,frames/image1437.gif,frames/log1437.csv
1438,10,-8,frames/image1438.gif,frames/log1438.csv
1439,8,-6,frames/image1439.gif,frames/log1439.csv
1440,8,-6,frames/image1440.gif,frames/log1440.csv
1441,6,-4,frames/image1441.gif,frames/log1441.csv
1442,7,-5,frames/image1442.gif,frames/log1442.csv
1443,6,-4,frames/image1443.gif,frames/log1443.csv
1444,6,-4,frames/image1444.gif,frames/log1444.csv
1445,6,-4,frames/image1445.gif,frames/log1445.csv
1446,6,-4,frames/image1446.gif,frames/log1446.csv
1447,6,-4,frames/image1447.gif,frames/log1447.csv
1448,6,-4,frames/image1448.gif,frames/log1448.csv
1449,6,-4,frames/image1449.gif,frames/log1449.csv
1450,6,-4,frames/image1450.gif,frames/log1450.csv
1451,6,-4,frames/image1451.gif,frames/log1451.csv
1452,6,-4,frames/image1452.gif,frames/log1452.csv
1453,6,-4,frames/image1453.gif,frames/log1453.csv
1454,8,-6,frames/image1454.gif,frames/log1454.csv
1455,6,-4,frames/image1455.gif,frames/log1455.csv
1456,6,-4,frames/image1456.gif,frames/log1456.csv
1457,6,-4,frames/image1457.gif,frames/log1457.csv
1458,7,-5,frames/image1458.gif,frames/log1458.csv
1459,6,-4,frames/image1459.gif,frames/log1459.csv
